Internal Id,Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Code,Place Of Performance Zip5,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Contracting Officer Business Size Determination,Generated Internal Id
127172437,HHSN273201400027C,BATTELLE MEMORIAL INSTITUTE,,41746383.6,,OH,,43201,,,,,,,CONT_AWD_HHSN273201400027C_7529_-NONE-_-NONE-
127172427,HHSN273201400022C,RESEARCH TRIANGLE INSTITUTE,,51885845.34,,NC,,27709,,,,,,,CONT_AWD_HHSN273201400022C_7529_-NONE-_-NONE-
127172424,HHSN273201400020C,MRIGLOBAL,,49117032.84,,MO,,64110,,,,,,,CONT_AWD_HHSN273201400020C_7529_-NONE-_-NONE-
127172416,HHSN273201400017C,"BURLESON RESEARCH TECHNOLOGIES, INC.",,30194569.75,,NC,,27560,,,,,,,CONT_AWD_HHSN273201400017C_7529_-NONE-_-NONE-
127172410,HHSN273201400015C,BATTELLE MEMORIAL INSTITUTE,,150072517.32,,OH,,43201,,,,,,,CONT_AWD_HHSN273201400015C_7529_-NONE-_-NONE-
127172117,HHSN273201300009C,"INTEGRATED LABORATORY SYSTEMS, LLC",,5522865.44,,NC,,27709,,,,,,,CONT_AWD_HHSN273201300009C_7529_-NONE-_-NONE-
127166138,HHSN27300013,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,3437177.35,,MD,,20910,,,,,,,CONT_AWD_HHSN27300013_7529_HHSN273201600003I_7529
127166076,HHSN27300012,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,731120.47,,MD,,20910,,,,,,,CONT_AWD_HHSN27300012_7529_HHSN273201600002I_7529
127166011,HHSN27300011,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,789702.21,,NC,,27709,,,,,,,CONT_AWD_HHSN27300011_7529_HHSN273201600002I_7529
127165944,HHSN27300010,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,10264496.4,,MD,,20910,,,,,,,CONT_AWD_HHSN27300010_7529_HHSN273201600003I_7529
127165943,HHSN27300010,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,4855423.48,,NC,,27709,,,,,,,CONT_AWD_HHSN27300010_7529_HHSN273201600002I_7529
127165809,HHSN27300008,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,5701329.07,,NC,,27709,,,,,,,CONT_AWD_HHSN27300008_7529_HHSN273201600002I_7529
127165731,HHSN27300007,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,894248.96,,NC,,27709,,,,,,,CONT_AWD_HHSN27300007_7529_HHSN273201600002I_7529
127165641,HHSN27300006,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,623853.95,,NC,,27709,,,,,,,CONT_AWD_HHSN27300006_7529_HHSN273201600002I_7529
127165544,HHSN27300005,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,2756052.42,,MD,,20910,,,,,,,CONT_AWD_HHSN27300005_7529_HHSN273201600003I_7529
127165543,HHSN27300005,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,4004618.03,,NC,,27709,,,,,,,CONT_AWD_HHSN27300005_7529_HHSN273201600002I_7529
127165421,HHSN27300004,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,14835242.44,,MD,,20910,,,,,,,CONT_AWD_HHSN27300004_7529_HHSN273201600003I_7529
127165420,HHSN27300004,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,3732337.48,,NC,,27709,,,,,,,CONT_AWD_HHSN27300004_7529_HHSN273201600002I_7529
127165291,HHSN27300003,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,2293083.04,,MD,,20910,,,,,,,CONT_AWD_HHSN27300003_7529_HHSN273201600003I_7529
127165290,HHSN27300003,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,1813392.41,,NC,,27709,,,,,,,CONT_AWD_HHSN27300003_7529_HHSN273201600002I_7529
127165133,HHSN27300002,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,4088824.17,,MD,,20910,,,,,,,CONT_AWD_HHSN27300002_7529_HHSN273201600003I_7529
127164936,HHSN27300001,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,2919646.95,,MD,,20910,,,,,,,CONT_AWD_HHSN27300001_7529_HHSN273201600003I_7529
127164935,HHSN27300001,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,3250760.36,,NC,,27709,,,,,,,CONT_AWD_HHSN27300001_7529_HHSN273201600002I_7529
127162908,HHSN272201800433P,"REVVITY HEALTH SCIENCES, INC.",,63107.85,,MD,,20892,,,,,,,CONT_AWD_HHSN272201800433P_7529_-NONE-_-NONE-
127160912,HHSN272201700061C,DUKE UNIVERSITY,,37292323.61,,NC,,27701,,,,,,,CONT_AWD_HHSN272201700061C_7529_-NONE-_-NONE-
127160849,HHSN272201700014C,"TECHNICAL RESOURCES INTERNATIONAL, INC.",,105428000.28,,MD,,20817,,,,,,,CONT_AWD_HHSN272201700014C_7529_-NONE-_-NONE-
127160828,HHSN272201700004C,PPD DEVELOPMENT LP,,135144719.22,,NC,,28401,,,,,,,CONT_AWD_HHSN272201700004C_7529_-NONE-_-NONE-
127159604,HHSN272201600209U,"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A, INC.",,141209.61,,VA,,22182,,,,,,,CONT_AWD_HHSN272201600209U_7529_GS25F0030M_4730
127145730,HHSN27200055,CDW GOVERNMENT LLC,,12868908.4,,IL,,60061,,,,,,,CONT_AWD_HHSN27200055_7529_HHSN316201500011W_7529
127145118,HHSN27200032,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,3731476.0,,MD,,20850,,,,,,,CONT_AWD_HHSN27200032_7529_HHSN272201100021I_7529
127145083,HHSN27200031,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,9545732.0,,MD,,20850,,,,,,,CONT_AWD_HHSN27200031_7529_HHSN272201100021I_7529
127144475,HHSN27200019,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,4240924.91,,MD,,20850,,,,,,,CONT_AWD_HHSN27200019_7529_HHSN272201100021I_7529
127144338,HHSN27200017,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,964411.81,,MD,,20850,,,,,,,CONT_AWD_HHSN27200017_7529_HHSN272201300002I_7529
127143287,HHSN27200008,ADVANCED AUTOMATION TECHNOLOGIES INC,,479937.77,,MD,,20852,,,,,,,CONT_AWD_HHSN27200008_7529_HHSN263201500030I_7529
127143182,HHSN27200007,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,6580682.98,,MD,,20850,,,,,,,CONT_AWD_HHSN27200007_7529_HHSN272201600008I_7529
127143000,HHSN27200006,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,1458936.5,,MD,,20850,,,,,,,CONT_AWD_HHSN27200006_7529_HHSN272201700010I_7529
127142759,HHSN27200005,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,9967500.0,,MD,,20850,,,,,,,CONT_AWD_HHSN27200005_7529_HHSN272201100021I_7529
127142713,HHSN27200005,ADVANCED AUTOMATION TECHNOLOGIES INC,,832862.66,,MD,,20852,,,,,,,CONT_AWD_HHSN27200005_7529_HHSN263201500030I_7529
127142712,HHSN27200005,"CTRMG-GAPSI JV, LLC",,213854.48,,MD,,20892,,,,,,,CONT_AWD_HHSN27200005_7529_HHSN263201500021I_7529
127142474,HHSN27200004,"CTRMG-GAPSI JV, LLC",,166604.86,,MD,,20892,,,,,,,CONT_AWD_HHSN27200004_7529_HHSN263201500021I_7529
127142313,HHSN27200003,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,2102618.0,,MD,,20850,,,,,,,CONT_AWD_HHSN27200003_7529_HHSN272201700010I_7529
127142009,HHSN27200002,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,3017609.0,,MD,,20850,,,,,,,CONT_AWD_HHSN27200002_7529_HHSN272201700010I_7529
127141969,HHSN27200002,"ADVANCED BIOSCIENCE LABORATORIES, INC.",,2185236.42,,MD,,20850,,,,,,,CONT_AWD_HHSN27200002_7529_HHSN272201300002I_7529
127141493,HHSN27200001,"EDWARDS INDUSTRIES, LLC.",,404098.07,,MD,,20852,,,,,,,CONT_AWD_HHSN27200001_7529_HHSN263201500026I_7529
127140524,HHSN271201700566P,BRUKER BIOSPIN CORP,,75000.0,,MD,,20892,,,,,,,CONT_AWD_HHSN271201700566P_7529_-NONE-_-NONE-
127140191,HHSN271201700183P,SALIENT SCIENCE & TECHNOLOGY LLC,,50069.86,,MD,,20892,,,,,,,CONT_AWD_HHSN271201700183P_7529_-NONE-_-NONE-
127140179,HHSN271201700176U,"BECTON, DICKINSON AND COMPANY",,47810.4,,MD,,20892,,,,,,,CONT_AWD_HHSN271201700176U_7529_GS07F195DA_4732
127140074,HHSN271201700115P,DETKE BIOPHARMA CONSULTING LLC,,29138.12,,MD,,20892,,,,,,,CONT_AWD_HHSN271201700115P_7529_-NONE-_-NONE-
127139808,HHSN271201700007C,"POLYPEPTIDE LABORATORIES SAN DIEGO, LLC",,1471282.57,,CA,,92126,,,,,,,CONT_AWD_HHSN271201700007C_7529_-NONE-_-NONE-
127139010,HHSN271201600047C,CAITTA INC.,,3838821.79,,MD,,20892,,,,,,,CONT_AWD_HHSN271201600047C_7529_-NONE-_-NONE-
127138866,HHSN271201600001C,"WESTAT, INC.",,505254551.54,,MD,,20850,,,,,,,CONT_AWD_HHSN271201600001C_7529_-NONE-_-NONE-
127128000,HHSN27100001,CURIA GLOBAL INC,,152594.0,,NY,,12212,,,,,,,CONT_AWD_HHSN27100001_7529_HHSN271201800001I_7529
127105111,HHSN268201600261U,GRANT THORNTON LLP,,3207358.79,,MD,,20892,,,,,,,CONT_AWD_HHSN268201600261U_7529_GS00F143CA_4732
127104481,HHSN268201600035C,NAVITAS CLINICAL RESEARCH INC,,8854993.83,,MD,,20892,,,,,,,CONT_AWD_HHSN268201600035C_7529_-NONE-_-NONE-
127104430,HHSN268201600020C,"THE EMMES COMPANY, LLC",,4756252.54,,MD,,20850,,,,,,,CONT_AWD_HHSN268201600020C_7529_-NONE-_-NONE-
127104407,HHSN268201600014C,SRI INTERNATIONAL,,4294728.29,,CA,,94025,,,,,,,CONT_AWD_HHSN268201600014C_7529_-NONE-_-NONE-
127104402,HHSN268201600013C,SRI INTERNATIONAL,,3414353.36,,CA,,94025,,,,,,,CONT_AWD_HHSN268201600013C_7529_-NONE-_-NONE-
127103568,HHSN268201500062U,DELOITTE CONSULTING LLP,,5989815.3,,MD,,20892,,,,,,,CONT_AWD_HHSN268201500062U_7529_GS10F0083L_4730
127101585,HHSN268201100017C,SRI INTERNATIONAL,,6752436.73,,CA,,94025,,,,,,,CONT_AWD_HHSN268201100017C_7529_-NONE-_-NONE-
127096862,HHSN26800009,THE JOHNS HOPKINS UNIVERSITY,,96800.0,,MD,,21205,,,,,,,CONT_AWD_HHSN26800009_7529_HHSN268201700006I_7529
127096726,HHSN26800007,"LEIDOS, INC.",,4400000.0,,MD,,20892,,,,,,,CONT_AWD_HHSN26800007_7529_HHSN268201200002B_7529
127096520,HHSN26800005,"CTRMG-GAPSI JV, LLC",,379472.78,,MD,,20892,,,,,,,CONT_AWD_HHSN26800005_7529_HHSN263201500021I_7529
127096441,HHSN26800004,THE JOHNS HOPKINS UNIVERSITY,,87515.0,,MD,,21218,,,,,,,CONT_AWD_HHSN26800004_7529_HHSN268201700006I_7529
127096296,HHSN26800003,"DLT SOLUTIONS, LLC",,36735.91,,VA,,20171,,,,,,,CONT_AWD_HHSN26800003_7529_HHSN316201500012W_7529
127096270,HHSN26800003,UNIVERSITY OF WASHINGTON,,4567142.81,,WA,,98195,,,,,,,CONT_AWD_HHSN26800003_7529_HHSN268201500003I_7529
127096265,HHSN26800003,"THE EMMES COMPANY, LLC",,13756583.42,,MD,,20850,,,,,,,CONT_AWD_HHSN26800003_7529_HHSN268201400002I_7529
127096022,HHSN26800002,RESEARCH TRIANGLE INSTITUTE,,5737866.07,,NC,,27709,,,,,,,CONT_AWD_HHSN26800002_7529_HHSN268201100002I_7529
127095817,HHSN26800001,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",,1745983.97,,MD,,20892,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201800008B_7529
127095814,HHSN26800001,"PALLADIAN PARTNERS, INC.",,6393792.96,,MD,,20892,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201700019B_7529
127095805,HHSN26800001,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,3746700.9,,MS,,39216,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201700004I_7529
127095804,HHSN26800001,REGENTS OF THE UNIVERSITY OF MINNESOTA,,4281945.28,,MN,,55455,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201700003I_7529
127095803,HHSN26800001,THE JOHNS HOPKINS UNIVERSITY,,4064213.74,,MD,,21218,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201700002I_7529
127095798,HHSN26800001,"H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE HOSPITAL, INC.",,668301.0,,FL,,33612,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201600013I_7529
127095771,HHSN26800001,SUNTIVA LLC,,195880.54,,MD,,20892,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201300007B_7529
127095753,HHSN26800001,"SAPIENT GOVERNMENT SERVICES, INC.",,2430954.0,,MD,,20892,,,,,,,CONT_AWD_HHSN26800001_7529_HHSN268201200003B_7529
127070170,HHSN263201700001C,"THE EMMES COMPANY, LLC",,35391880.14,,MD,,20850,,,,,,,CONT_AWD_HHSN263201700001C_7529_-NONE-_-NONE-
127069011,HHSN263201500276U,"MERIDIAN IMAGING SOLUTIONS, INC.",,116573.61,,MD,,20892,,,,,,,CONT_AWD_HHSN263201500276U_7529_GS25F0008T_4730
127068515,HHSN263201500006C,COMPASS GROUP USA INC,,8286.95,,MD,,20892,,,,,,,CONT_AWD_HHSN263201500006C_7529_-NONE-_-NONE-
127027700,HHSN26300028,"YOUR RECRUITING COMPANY, INC.",,2452640.66,,MD,,20892,,,,,,,CONT_AWD_HHSN26300028_7529_HHSN263201100085B_7529
127026343,HHSN26300017,"CONTEMPORARIES, INC.",,891697.26,,MD,,20910,,,,,,,CONT_AWD_HHSN26300017_7529_HHSN263201500053I_7529
127024689,HHSN26300008,"CTRMG-GAPSI JV, LLC",,347240.77,,VA,,22030,,,,,,,CONT_AWD_HHSN26300008_7529_HHSN263201500021I_7529
127023752,HHSN26300004,DELOITTE CONSULTING LLP,,3680556.53,,MD,,20852,,,,,,,CONT_AWD_HHSN26300004_7529_HHSN316201200018W_7529
127023043,HHSN26300002,T AND T CONSULTING SERVICES INC.,,343246.0,,MD,,20878,,,,,,,CONT_AWD_HHSN26300002_7529_HHSN263201500054I_7529
127022734,HHSN26300001,"WEBFIRST, INC",,604583.06,,MD,,21046,,,,,,,CONT_AWD_HHSN26300001_7529_HHSN316201200189W_7529
127022713,HHSN26300001,BOOZ ALLEN HAMILTON INC,,33719266.9,,MD,,20852,,,,,,,CONT_AWD_HHSN26300001_7529_HHSN316201200008W_7529
127022612,HHSN26300001,"PARAGON TEC, INC.",,410013.77,,OH,,44115,,,,,,,CONT_AWD_HHSN26300001_7529_HHSN263201500029I_7529
127019987,HHSN261201800003C,MRIGLOBAL,,1658742.83,,MO,,64110,,,,,,,CONT_AWD_HHSN261201800003C_7529_-NONE-_-NONE-
127018695,HHSN261201700007C,"EDJ ASSOCIATES, INC.",,8986510.18,,MD,,20850,,,,,,,CONT_AWD_HHSN261201700007C_7529_-NONE-_-NONE-
127018683,HHSN261201700004A,SEDECAL MOLECULAR IMAGING SL,,285000.0,,MD,,20892,,,,,,,CONT_AWD_HHSN261201700004A_7529_-NONE-_-NONE-
127018107,HHSN261201600376P,VISISCIENCE CORP,,22557.75,,MD,,20892,,,,,,,CONT_AWD_HHSN261201600376P_7529_-NONE-_-NONE-
127017898,HHSN261201600244P,W & T TRAVEL SERVICES LLC,,6261715.6,,MD,,20850,,,,,,,CONT_AWD_HHSN261201600244P_7529_-NONE-_-NONE-
127017826,HHSN261201600195P,"TECH SOFTWARE, LLC",,750000.0,,NY,,11747,,,,,,,CONT_AWD_HHSN261201600195P_7529_-NONE-_-NONE-
